FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187bdca2256_14de,5334002,1207,Drosselweg
strassennamen.fid--3213a59_187bdca2256_14df,5334002,1209,Düppelstraße
strassennamen.fid--3213a59_187bdca2256_14e0,5334002,1210,Düstergasse
strassennamen.fid--3213a59_187bdca2256_14e1,5334002,1211,Düsbergweg
strassennamen.fid--3213a59_187bdca2256_14e2,5334002,1212,Dunantstraße
strassennamen.fid--3213a59_187bdca2256_14e3,5334002,1214,Eberburgweg
strassennamen.fid--3213a59_187bdca2256_14e4,5334002,1216,Eckenberger Straße
strassennamen.fid--3213a59_187bdca2256_14e5,5334002,1217,Mataréstraße
strassennamen.fid--3213a59_187bdca2256_14e6,5334002,1220,Eginhardstraße
strassennamen.fid--3213a59_187bdca2256_14e7,5334002,1222,Eichendorffweg
strassennamen.fid--3213a59_187bdca2256_14e8,5334002,1224,Eichhörnchenweg
strassennamen.fid--3213a59_187bdca2256_14e9,5334002,1226,Eifelstraße
strassennamen.fid--3213a59_187bdca2256_14ea,5334002,1228,Sonnenscheinstraße
strassennamen.fid--3213a59_187bdca2256_14eb,5334002,1229,Eilfschornsteinstraße
strassennamen.fid--3213a59_187bdca2256_14ec,5334002,1231,Eintrachtstraße
strassennamen.fid--3213a59_187bdca2256_14ed,5334002,1233,Eisenbahnweg
strassennamen.fid--3213a59_187bdca2256_14ee,5334002,1235,Elisabethstraße
strassennamen.fid--3213a59_187bdca2256_14ef,5334002,1237,Malmedyer Straße
strassennamen.fid--3213a59_187bdca2256_14f0,5334002,1239,Elsa-Brändström-Straße
strassennamen.fid--3213a59_187bdca2256_14f1,5334002,1240,Elsassplatz
strassennamen.fid--3213a59_187bdca2256_14f2,5334002,1241,Elsassstraße
strassennamen.fid--3213a59_187bdca2256_14f3,5334002,1243,Emmastraße
strassennamen.fid--3213a59_187bdca2256_14f4,5334002,1245,Engelbertstraße
strassennamen.fid--3213a59_187bdca2256_14f5,5334002,1247,Entenfeld
strassennamen.fid--3213a59_187bdca2256_14f6,5334002,1248,Entenpfuhler Weg
strassennamen.fid--3213a59_187bdca2256_14f7,5334002,1250,Erckensstraße
strassennamen.fid--3213a59_187bdca2256_14f8,5334002,1252,Erlenweg
strassennamen.fid--3213a59_187bdca2256_14f9,5334002,1253,Eselsweg
strassennamen.fid--3213a59_187bdca2256_14fa,5334002,1258,Europadorf
strassennamen.fid--3213a59_187bdca2256_14fb,5334002,1259,Europaplatz
strassennamen.fid--3213a59_187bdca2256_14fc,5334002,1260,Eynattener Straße
strassennamen.fid--3213a59_187bdca2256_14fd,5334002,1261,Feldchen
strassennamen.fid--3213a59_187bdca2256_14fe,5334002,1262,Feldstraße
strassennamen.fid--3213a59_187bdca2256_14ff,5334002,1264,Felix-Timmermans-Straße
strassennamen.fid--3213a59_187bdca2256_1500,5334002,1266,Fichtestraße
strassennamen.fid--3213a59_187bdca2256_1501,5334002,1267,Fichthang
strassennamen.fid--3213a59_187bdca2256_1502,5334002,1268,Fischmarkt
strassennamen.fid--3213a59_187bdca2256_1503,5334002,1270,Flandrische Straße
strassennamen.fid--3213a59_187bdca2256_1504,5334002,1272,Fliederweg
strassennamen.fid--3213a59_187bdca2256_1505,5334002,1274,Försterstraße
strassennamen.fid--3213a59_187bdca2256_1506,5334002,1276,Forster Linde
strassennamen.fid--3213a59_187bdca2256_1507,5334002,1277,Forster Weg
strassennamen.fid--3213a59_187bdca2256_1508,5334002,1278,Frankenberger Straße
strassennamen.fid--3213a59_187bdca2256_1509,5334002,1279,Frankenstraße
strassennamen.fid--3213a59_187bdca2256_150a,5334002,1280,Franziskusweg
strassennamen.fid--3213a59_187bdca2256_150b,5334002,1281,Frans-Masereel-Straße
strassennamen.fid--3213a59_187bdca2256_150c,5334002,1284,Freunder Weg
strassennamen.fid--3213a59_187bdca2256_150d,5334002,1286,Aretzstraße
strassennamen.fid--3213a59_187bdca2256_150e,5334002,1287,Friedlandstraße
strassennamen.fid--3213a59_187bdca2256_150f,5334002,1288,Friedrich-Ebert-Allee
strassennamen.fid--3213a59_187bdca2256_1510,5334002,1289,Friedrichstraße
strassennamen.fid--3213a59_187bdca2256_1511,5334002,1290,Friedrich-Wilhelm-Platz
strassennamen.fid--3213a59_187bdca2256_1512,5334002,1292,Friesenstraße
strassennamen.fid--3213a59_187bdca2256_1513,5334002,1294,Fringsgraben
strassennamen.fid--3213a59_187bdca2256_1514,5334002,1296,Fuchserde
strassennamen.fid--3213a59_187bdca2256_1515,5334002,1298,Gartenstraße
strassennamen.fid--3213a59_187bdca2256_1516,5334002,1299,Gasborn
strassennamen.fid--3213a59_187bdca2256_1517,5334002,1300,Gerhart-Hauptmann-Straße
strassennamen.fid--3213a59_187bdca2256_1518,5334002,1301,Gemmenicher Weg
strassennamen.fid--3213a59_187bdca2256_1519,5334002,1302,Geschwister-Scholl-Straße
strassennamen.fid--3213a59_187bdca2256_151a,5334002,1303,Schumacherstraße
